,技术(S),作用(A),功效(O)
101,电子显微镜, 扫描, 电路采集电路
102,电子显微镜, 拍摄, 细胞彩照
103,电子显微镜, 收集, 晶体三维衍射信息
104,电子显微镜, 改进, 病毒感染细胞包埋技术
105,电子显微镜, 检查, 溃疡性结肠炎和克隆氏病
106,电子显微镜, 检查, 猪传染性胃肠炎病毒和轮状病毒
107,电子显微镜, 检查, 粪便标本
108,电子显微镜, 检测, 云南省烟草病毒
109,电子显微镜, 检测, 动物病毒疫苗
110,电子显微镜, 检测, 单纯疱疹病毒脑炎
111,电子显微镜, 检测, 含病毒粪便
112,电子显微镜, 检测, 急性胃肠炎
113,电子显微镜, 检测, 患者粪便中病毒
114,电子显微镜, 检测, 数控车床导轨精度
115,电子显微镜, 检测, 断裂面
116,电子显微镜, 检测, 樱桃树叶病毒
117,电子显微镜, 检测, 狂犬病毒
118,电子显微镜, 检测, 聚苯乙烯颗粒直径
119,电子显微镜, 检测, 阴道乳头瘤病毒
120,电子显微镜, 检测, 阴道宫颈乳头瘤病毒
121,电子显微镜, 检测, 马立克氏病病毒
122,电子显微镜, 检验, 焚烧牙齿
123,电子显微镜, 测定, 40Cr钢断裂韧性
124,电子显微镜, 测定, 晶体结构
125,电子显微镜, 测定, 牛肝过氧化氢酶结晶
126,电子显微镜, 测定, 钒原子
127,电子显微镜, 测试, 纳米级颗粒群分形特征
128,电子显微镜, 测量, 微小雾径
129,电子显微镜, 测量, 薄膜厚度
130,电子显微镜, 测量, 靶丸表面形貌
131,电子显微镜, 测量, 高压稳定度
132,电子显微镜, 监测, 木材
133,电子显微镜, 研究, A18Fe4Ce3Ti合金
134,电子显微镜, 研究, CO
135,电子显微镜, 研究, CuMgO界面结构
136,电子显微镜, 研究, SnO2气敏薄膜
137,电子显微镜, 研究, α
138,电子显微镜, 研究, 三种碳碳复合材料微观结构
139,电子显微镜, 研究, 乳胶系统特性
140,电子显微镜, 研究, 人造奶油
141,电子显微镜, 研究, 修复体
142,电子显微镜, 研究, 健康人薄白苔
143,电子显微镜, 研究, 半导体p-n结结区光电特性
144,电子显微镜, 研究, 半导体激光器中的缺陷
145,电子显微镜, 研究, 发光晶体
146,电子显微镜, 研究, 各类病理舌象研究
147,电子显微镜, 研究, 固体推进剂老化过程
148,电子显微镜, 研究, 土传小麦花叶病毒
149,电子显微镜, 研究, 大肠癌患者结肠粘膜超微结构
150,电子显微镜, 研究, 小麦花叶病毒
151,电子显微镜, 研究, 山羊皮组织结构
152,电子显微镜, 研究, 恒河猴
153,电子显微镜, 研究, 恒河猴SV隐性感染
154,电子显微镜, 研究, 有机硅氧烷乳液粒子
155,电子显微镜, 研究, 机械
156,电子显微镜, 研究, 棉纤维
157,电子显微镜, 研究, 棱子蟹壳中组份形态及存在关系
158,电子显微镜, 研究, 氧化膜
159,电子显微镜, 研究, 水稻土特性
160,电子显微镜, 研究, 汉口路山羊皮组织结构
161,电子显微镜, 研究, 混凝机理
162,电子显微镜, 研究, 激光法制备非晶态金属
163,电子显微镜, 研究, 矿族矿物
164,电子显微镜, 研究, 碳纤维微细结构
165,电子显微镜, 研究, 类B型病毒颗粒
166,电子显微镜, 研究, 粘胶中颗粒
167,电子显微镜, 研究, 结晶形态
168,电子显微镜, 研究, 羊毛织物
169,电子显微镜, 研究, 聚丙烯
170,电子显微镜, 研究, 聚丙烯腈基碳纤维形态结构
171,电子显微镜, 研究, 聚丙烯腈纤维
172,电子显微镜, 研究, 聚丙烯腈纤维微观结构和缺陷
173,电子显微镜, 研究, 花岗石
174,电子显微镜, 研究, 苏芸金杆菌
175,电子显微镜, 研究, 超微结构
176,电子显微镜, 研究, 辉钼矿
177,电子显微镜, 研究, 进行性神经损害
178,电子显微镜, 研究, 退火直拉硅单晶中的氧气
179,电子显微镜, 研究, 酵母细胞
180,电子显微镜, 研究, 铅矿族矿物
181,电子显微镜, 研究, 铸铁中石墨形态
182,电子显微镜, 研究, 集成电路
183,电子显微镜, 研究, 露斯塔野鲮电子显微镜
184,电子显微镜, 研究, 非晶态催化剂晶化过程
185,电子显微镜, 研究, 非晶态合金
186,电子显微镜, 研究, 高温超导体结构
187,电子显微镜, 研究, 鸡
188,电子显微镜, 研究,大鼠大脑运动皮质损伤
189,电子显微镜, 确定, 外延生长纳米线生长方向
190,电子显微镜, 确定, 脱水叶腊石结构
191,电子显微镜, 结合, 免疫细胞化学
192,电子显微镜, 观察, B超
193,电子显微镜, 观察, CuZnAlMnNi记忆合金
194,电子显微镜, 观察, DNA杂交证据
195,电子显微镜, 观察, YBaCuO超导薄膜
196,电子显微镜, 观察, 不同抗凝剂对血细胞形态影响
197,电子显微镜, 观察, 中毒症胎盘绒毛变化
198,电子显微镜, 观察, 人肝双核细胞
199,电子显微镜, 观察, 人造金刚石界面微观结构
200,电子显微镜, 观察, 他啶抗绿脓杆菌
201,电子显微镜, 观察, 克山病
202,电子显微镜, 观察, 冷硬呋喃砂
203,电子显微镜, 观察, 出血病
204,电子显微镜, 观察, 分子结构
205,电子显微镜, 观察, 制作技术生物材料包埋方法
206,电子显微镜, 观察, 制作技术生物材料颗粒样品制作方法
207,电子显微镜, 观察, 孢子丝
208,电子显微镜, 观察, 幽门弯曲菌
209,电子显微镜, 观察, 微生物简易标本
210,电子显微镜, 观察, 心房特殊颗粒
211,电子显微镜, 观察, 抗菌肽抗菌机理
212,电子显微镜, 观察, 损伤区心肌细胞超微结构
213,电子显微镜, 观察, 接枝侧链聚合物长度
214,电子显微镜, 观察, 新型无机材料
215,电子显微镜, 观察, 新生儿气管导管表面细菌生物膜
216,电子显微镜, 观察, 无细胞提取液
217,电子显微镜, 观察, 昆虫
218,电子显微镜, 观察, 显微结构
219,电子显微镜, 观察, 晶体中层错结构
220,电子显微镜, 观察, 果树样品
221,电子显微镜, 观察, 核心复合体结构电子显微镜
222,电子显微镜, 观察, 棉酚对大鼠及豚鼠肾钠钾三磷酸腺苷酶影响
223,电子显微镜, 观察, 植物亚显微结构方法
224,电子显微镜, 观察, 歼击机飞行员飞行前后血小板形态
225,电子显微镜, 观察, 毛纤维表面结构情况
226,电子显微镜, 观察, 淋巴细胞
227,电子显微镜, 观察, 烧伤皮肤微血管
228,电子显微镜, 观察, 热塑性聚氨酯橡胶
229,电子显微镜, 观察, 特异抗原
230,电子显微镜, 观察, 甘蔗白叶病中的病原体
231,电子显微镜, 观察, 病毒
232,电子显微镜, 观察, 病毒感染细胞包埋技术
233,电子显微镜, 观察, 石墨烯液体池中水
234,电子显微镜, 观察, 福尔马林固定组织
235,电子显微镜, 观察, 稀土镁球墨铸铁组织
236,电子显微镜, 观察, 红松花粉发芽
237,电子显微镜, 观察, 红细胞
238,电子显微镜, 观察, 纤维蛋白
239,电子显微镜, 观察, 组特异抗原
240,电子显微镜, 观察, 细针吸肺标本
241,电子显微镜, 观察, 绵羊精子
242,电子显微镜, 观察, 肺原性心脏病急性期血小板形态改变
243,电子显微镜, 观察, 脱氢酶在线粒体中定位
244,电子显微镜, 观察, 苯乙烯呼吸道粘膜
245,电子显微镜, 观察, 蛋白质分子
246,电子显微镜, 观察, 谷核败育过程
247,电子显微镜, 观察, 遗传基因
248,电子显微镜, 观察, 重症肌无力大鼠肌肉线粒体
249,电子显微镜, 观察, 针刺过程中突触亚显微结构
250,电子显微镜, 观察, 铂
251,电子显微镜, 观察, 铜双晶断口反射电子显微方法
252,电子显微镜, 观察, 锡类散改进方对治疗作用
253,电子显微镜, 观察, 阴极荧光
254,电子显微镜, 观察, 附光镜电镜对照
255,电子显微镜, 观察, 马氏体
256,电子显微镜, 观察, 马脑炎病原体
257,电子显微镜, 观察, 骨巨细胞瘤
258,电子显微镜, 观察, 高聚物断面样品
259,电子显微镜, 观察, 鱼卵带超微结构变化
260,电子显微镜, 观察, 鼠伤寒沙门氏菌株细胞突变
261,电子显微镜, 观测, 聚丙烯酰胺结合表面结构
262,电子显微镜, 观测, 颗粒谱
263,电子显微镜, 记录, 研制中应用
264,电子显微镜, 证实, 麻风杆菌存在于神经轴突
265,电子显微镜, 识别, 真假燕窝电镜
266,电子显微镜, 诊断, 小儿肾小球疾病
267,电子显微镜, 诊断, 性病
268,电子显微镜, 诊断, 早期Wilson病
269,电子显微镜, 诊断, 肌肉疾病
270,电子显微镜, 诊断, 肿瘤
271,电子显微镜, 诊断, 腹水中恶性黑色素瘤细胞
272,电子显微镜, 诊断, 骨小圆细胞肉瘤
273,电子显微镜, 辨认, 3C-SiC中的硅
274,电子显微镜, 透视, 半导体
275,电子显微镜, 鉴别, 山羊绒纤维
276,电子显微镜, 鉴定, 山羊绒织物
277,电子显微镜图像, 分辨, 铝合金中单层Mg-GP
278,电子显微镜图像, 提取, 粉煤灰珠状颗粒区域
279,电子显微镜图像, 测定, 岩石
280,电子显微镜图谱, 研究, 淀粉—丙烯酰胺接枝聚物
281,电子显微镜形态学, 研究, 利什曼属虫种 
282,电子显微镜样品, 处理, 镀膜技术
283,电子显微镜样品室低温区, 扩展, 变温装置
284,电子显微镜法, 测定, 金属衬底上的石墨烯薄膜
285,电子显微镜法, 研究, 人造奶油
286,电子显微镜细胞化学, 证明, 银屑病表皮中腺环化酶活性
287,电子显微镜能谱仪, 测量, 镀金层厚度
288,电子显微镜观察, 观察,家鼠雄性生殖细胞
289,电子显微镜负染色法, 观察, 绵羊精子
290,电镜图像分析法, 测定, 核壳胶乳粒径分布
291,电镜图像分析法, 测定, 硅丙乳液粒度分布透射电镜
292,电镜微粒子分析器, 测定, 氧氯化催化剂
293,透射电镜, 分辨, 石墨烯基
294,透射电镜, 研究, Te-GaAs单晶中微缺陷
295,透射电镜, 研究, 陨石中的辉石
296,透射电镜, 观察, 扩展青霉侵染苹果组织
297,透射电镜, 观察, 纯钛种植体
298,透射电镜, 观察, 羟氯镁铝石
299,透射电镜, 观察, 降脂红曲
