光学投影显微镜, 检测, 山羊绒
电子显微镜, 分析, 固体催化剂
电子显微镜, 分析, 彩色显象管内薄膜
电子显微镜, 分析, 彩色显象管内薄膜污染
电子显微镜, 分析, 水泥砂浆中单一组相力学性能
电子显微镜, 分析, 液压系统堵塞原因
电子显微镜, 分析, 混合纤维含量
电子显微镜, 分析, 研究方面应用
电子显微镜, 分析, 精细陶瓷粉体
电子显微镜, 分析, 聚硅酸金属盐复合絮凝剂形貌
电子显微镜, 分析, 膨润土微观形貌及结构模式
电子显微镜, 分离, 小鼠染色体
电子显微镜, 分辨, 低氟溶胶
电子显微镜, 分辨, 聚芳醚酮球晶形态 
电子显微镜, 加速, 高压稳定度测量
电子显微镜, 发现, 类B型病毒颗粒
电子显微镜, 变换, 红外光谱
电子显微镜, 吸收, 电子象
电子显微镜, 应用, 诊断
电子显微镜, 应用于, 瓦斯研究
电子显微镜, 影响, 阴极电子束流
电子显微镜, 扫描, 电路采集电路
电子显微镜, 拍摄, 细胞彩照
电子显微镜, 收集, 晶体三维衍射信息
电子显微镜, 改进, 病毒感染细胞包埋技术
电子显微镜, 检查, 溃疡性结肠炎和克隆氏病
电子显微镜, 检查, 猪传染性胃肠炎病毒和轮状病毒
电子显微镜, 检查, 粪便标本
电子显微镜, 检测, 云南省烟草病毒
电子显微镜, 检测, 动物病毒疫苗
电子显微镜, 检测, 单纯疱疹病毒脑炎
电子显微镜, 检测, 含病毒粪便
电子显微镜, 检测, 急性胃肠炎
电子显微镜, 检测, 患者粪便中病毒
电子显微镜, 检测, 数控车床导轨精度
电子显微镜, 检测, 断裂面
电子显微镜, 检测, 樱桃树叶病毒
电子显微镜, 检测, 狂犬病毒
电子显微镜, 检测, 聚苯乙烯颗粒直径
电子显微镜, 检测, 阴道乳头瘤病毒
电子显微镜, 检测, 阴道宫颈乳头瘤病毒
电子显微镜, 检测, 马立克氏病病毒
电子显微镜, 检验, 焚烧牙齿
电子显微镜, 测定, 40Cr钢断裂韧性
电子显微镜, 测定, 晶体结构
电子显微镜, 测定, 牛肝过氧化氢酶结晶
电子显微镜, 测定, 钒原子
电子显微镜, 测试, 纳米级颗粒群分形特征
电子显微镜, 测量, 微小雾径
电子显微镜, 测量, 薄膜厚度
电子显微镜, 测量, 靶丸表面形貌
电子显微镜, 测量, 高压稳定度
电子显微镜, 监测, 木材
电子显微镜, 研究, A18Fe4Ce3Ti合金
电子显微镜, 研究, CO
电子显微镜, 研究, CuMgO界面结构
电子显微镜, 研究, SnO2气敏薄膜
电子显微镜, 研究, α
电子显微镜, 研究, 三种碳碳复合材料微观结构
电子显微镜, 研究, 乳胶系统特性
电子显微镜, 研究, 人造奶油
电子显微镜, 研究, 修复体
电子显微镜, 研究, 健康人薄白苔
电子显微镜, 研究, 半导体p-n结结区光电特性
电子显微镜, 研究, 半导体激光器中的缺陷
电子显微镜, 研究, 发光晶体
电子显微镜, 研究, 各类病理舌象研究
电子显微镜, 研究, 固体推进剂老化过程
电子显微镜, 研究, 土传小麦花叶病毒
电子显微镜, 研究, 大肠癌患者结肠粘膜超微结构
电子显微镜, 研究, 小麦花叶病毒
电子显微镜, 研究, 山羊皮组织结构
电子显微镜, 研究, 恒河猴
电子显微镜, 研究, 恒河猴SV隐性感染
电子显微镜, 研究, 有机硅氧烷乳液粒子
电子显微镜, 研究, 机械
电子显微镜, 研究, 棉纤维
电子显微镜, 研究, 棱子蟹壳中组份形态及存在关系
电子显微镜, 研究, 氧化膜
电子显微镜, 研究, 水稻土特性
电子显微镜, 研究, 汉口路山羊皮组织结构
电子显微镜, 研究, 混凝机理
电子显微镜, 研究, 激光法制备非晶态金属
电子显微镜, 研究, 矿族矿物
电子显微镜, 研究, 碳纤维微细结构
电子显微镜, 研究, 类B型病毒颗粒
电子显微镜, 研究, 粘胶中颗粒
电子显微镜, 研究, 结晶形态
电子显微镜, 研究, 羊毛织物
电子显微镜, 研究, 聚丙烯
电子显微镜, 研究, 聚丙烯腈基碳纤维形态结构
电子显微镜, 研究, 聚丙烯腈纤维
电子显微镜, 研究, 聚丙烯腈纤维微观结构和缺陷
电子显微镜, 研究, 花岗石
电子显微镜, 研究, 苏芸金杆菌
电子显微镜, 研究, 超微结构
电子显微镜, 研究, 辉钼矿
电子显微镜, 研究, 进行性神经损害发生
电子显微镜, 研究, 退火直拉硅单晶中的氧气
电子显微镜, 研究, 酵母细胞
电子显微镜, 研究, 铅矿族矿物
电子显微镜, 研究, 铸铁中石墨形态
电子显微镜, 研究, 集成电路
电子显微镜, 研究, 露斯塔野鲮电子显微镜
电子显微镜, 研究, 非晶态催化剂晶化过程
电子显微镜, 研究, 非晶态合金
电子显微镜, 研究, 高温超导体结构
电子显微镜, 研究, 鸡
电子显微镜, 研究, 鸡电子显微镜方法
电子显微镜, 确定, 外延生长纳米线生长方向
电子显微镜, 确定, 脱水叶腊石结构
电子显微镜, 结合, 免疫细胞化学
电子显微镜, 观察, B超
电子显微镜, 观察, CuZnAlMnNi记忆合金
电子显微镜, 观察, DNA杂交证据
电子显微镜, 观察, YBaCuO超导薄膜
电子显微镜, 观察, 不同抗凝剂对血细胞形态影响
电子显微镜, 观察, 中毒症胎盘绒毛变化
电子显微镜, 观察, 人肝双核细胞
电子显微镜, 观察, 人造金刚石界面微观结构
电子显微镜, 观察, 他啶抗绿脓杆菌
电子显微镜, 观察, 克山病
电子显微镜, 观察, 冷硬呋喃砂
电子显微镜, 观察, 出血病
电子显微镜, 观察, 分子结构
电子显微镜, 观察, 制作技术生物材料包埋方法
电子显微镜, 观察, 制作技术生物材料颗粒样品制作方法
电子显微镜, 观察, 孢子丝
电子显微镜, 观察, 幽门弯曲菌
电子显微镜, 观察, 微生物简易标本
电子显微镜, 观察, 心房特殊颗粒
电子显微镜, 观察, 抗菌肽抗菌机理
电子显微镜, 观察, 损伤区心肌细胞超微结构
电子显微镜, 观察, 接枝侧链聚合物长度
电子显微镜, 观察, 新型无机材料
电子显微镜, 观察, 新生儿气管导管表面细菌生物膜
电子显微镜, 观察, 无细胞提取液
电子显微镜, 观察, 昆虫
电子显微镜, 观察, 显微结构
电子显微镜, 观察, 晶体中层错结构
电子显微镜, 观察, 果树样品
电子显微镜, 观察, 核心复合体结构电子显微镜
电子显微镜, 观察, 棉酚对大鼠及豚鼠肾钠钾三磷酸腺苷酶影响
电子显微镜, 观察, 植物亚显微结构方法
电子显微镜, 观察, 歼击机飞行员飞行前后血小板形态
电子显微镜, 观察, 毛纤维表面结构情况
电子显微镜, 观察, 淋巴细胞
电子显微镜, 观察, 烧伤皮肤微血管
电子显微镜, 观察, 热塑性聚氨酯橡胶
电子显微镜, 观察, 特异抗原
电子显微镜, 观察, 甘蔗白叶病中的病原体
电子显微镜, 观察, 病毒
电子显微镜, 观察, 病毒感染细胞包埋技术
电子显微镜, 观察, 石墨烯液体池中水
电子显微镜, 观察, 福尔马林固定组织
电子显微镜, 观察, 稀土镁球墨铸铁组织
电子显微镜, 观察, 红松花粉发芽
电子显微镜, 观察, 红细胞
电子显微镜, 观察, 纤维蛋白
电子显微镜, 观察, 组特异抗原
电子显微镜, 观察, 细针吸肺标本
电子显微镜, 观察, 绵羊精子
电子显微镜, 观察, 肺原性心脏病急性期血小板形态改变
电子显微镜, 观察, 脱氢酶在线粒体中定位
电子显微镜, 观察, 苯乙烯呼吸道粘膜
电子显微镜, 观察, 蛋白质分子
电子显微镜, 观察, 谷核败育过程
电子显微镜, 观察, 遗传基因
电子显微镜, 观察, 重症肌无力大鼠肌肉线粒体
电子显微镜, 观察, 针刺过程中突触亚显微结构
电子显微镜, 观察, 铂
电子显微镜, 观察, 铜双晶断口反射电子显微方法
电子显微镜, 观察, 锡类散改进方对治疗作用
电子显微镜, 观察, 阴极荧光
电子显微镜, 观察, 附光镜电镜对照
电子显微镜, 观察, 马氏体
电子显微镜, 观察, 马脑炎病原体
电子显微镜, 观察, 骨巨细胞瘤
电子显微镜, 观察, 高聚物断面样品
电子显微镜, 观察, 鱼卵带超微结构变化
电子显微镜, 观察, 鼠伤寒沙门氏菌株细胞突变
电子显微镜, 观测, 聚丙烯酰胺结合表面结构
电子显微镜, 观测, 颗粒谱
电子显微镜, 记录, 研制中应用
电子显微镜, 证实, 麻风杆菌存在于神经轴突
电子显微镜, 识别, 真假燕窝电镜
电子显微镜, 诊断, 小儿肾小球疾病
电子显微镜, 诊断, 性病
电子显微镜, 诊断, 早期Wilson病
电子显微镜, 诊断, 肌肉疾病
电子显微镜, 诊断, 肿瘤
电子显微镜, 诊断, 腹水中恶性黑色素瘤细胞
电子显微镜, 诊断, 骨小圆细胞肉瘤
电子显微镜, 辨认, 3C-SiC中的硅
电子显微镜, 透视, 半导体
电子显微镜, 鉴别, 山羊绒纤维
电子显微镜, 鉴定, 山羊绒织物
电子显微镜图像, 分辨, 铝合金中单层Mg-GP
电子显微镜图像, 提取, 粉煤灰珠状颗粒区域
电子显微镜图像, 测定, 岩石
电子显微镜图谱, 研究, 淀粉—丙烯酰胺接枝聚物
电子显微镜形态学, 研究, 利什曼属虫种 
电子显微镜样品, 处理, 镀膜技术
电子显微镜样品室低温区, 扩展, 变温装置
电子显微镜法, 测定, 金属衬底上的石墨烯薄膜
电子显微镜法, 研究, 人造奶油
电子显微镜细胞化学, 证明, 银屑病表皮中腺环化酶活性
电子显微镜能谱仪, 测量, 镀金层厚度
电子显微镜观察,  家鼠雄性生殖细胞
电子显微镜负染色法, 观察, 绵羊精子
电镜图像分析法, 测定, 核壳胶乳粒径分布
电镜图像分析法, 测定, 硅丙乳液粒度分布透射电镜
电镜微粒子分析器, 测定, 氧氯化催化剂
透射电镜, 分辨, 石墨烯基
透射电镜, 研究, Te-GaAs单晶中微缺陷
透射电镜, 研究, 陨石中的辉石
透射电镜, 观察, 扩展青霉侵染苹果组织
透射电镜, 观察, 纯钛种植体
透射电镜, 观察, 羟氯镁铝石
透射电镜, 观察, 降脂红曲
