医学名词（病菌类）,医学名词（细胞类）,医学名词（疾病类）,医学名词（药物类）,医学名词（炎症类）,医学名词（癌症类）,医学名词（其他）,生物名词（动物类）,生物名词（植物类）,生物名词（昆虫类）,生物名词（纤维类）,生物名词（其他）,物理名词,化学名词,化学名词（酶类）,地质名词,其他
 阴道乳头瘤病毒, 红细胞, 蕈样肉芽肿,,,,, 绵羊精子, 谷核,,,, 液压系统, 聚芳醚酮 ,, 铅矿族矿物, 人造奶油
 阴道宫颈乳头瘤病毒, 免疫细胞, 骨巨细胞瘤,,,,, 节肢动物, 红松花粉,,,, 精细陶瓷粉体, 瓦斯,, CuZnAlMnNi记忆合金, 木材
 马立克氏病病毒, 淋巴细胞, 老年性紫斑,,,,, 小鼠染色体, 梨属植物花粉,,,, 高压稳定度, 晶体三维衍射信息,, 辉石, 舌苔
 大蒜病毒, 兔关节软骨细胞, 矽肺结石,,,,, 家鼠雄性生殖细胞,,,,, 红外光谱, 聚苯乙烯,, 羟氯镁铝石, 病理舌象
 蓝舌病病毒, 鼻咽癌细胞,,,,,, 重症肌无力大鼠肌肉线粒体,,,,, 电子象, 纳米级颗粒群,, 矿族矿物, 机械
 小麦花叶病毒, 鼠伤寒沙门氏菌株细胞,,,,,,,,,,, 阴极电子束流, A18Fe4Ce3Ti合金,,, 婴幼儿腹泻粪便
 许兰氏毛癣菌,,,,,,,,,,,, 电路采集电路, 一氧化碳,,, 颗粒谱
 土传小麦花叶病毒,,,,,,,,,,,, 数控车床导轨精度, CuMgO,,, 燕窝
 苏芸金杆菌,,,,,,,,,,,, 40Cr钢断裂韧性, SnO2气敏薄膜,,, 人造奶油
 类B型病毒,,,,,,,,,,,, 修复体, 碳/碳复合材料,,,
 幽门弯曲菌,,,,,,,,,,,, 钒原子, 石墨烯薄膜,,,
 柑桔黄龙病菌,,,,,,,,,,,, 微小雾径, 发光晶体,,,
 他啶抗绿脓杆菌,,,,,,,,,,,, 靶丸表面形貌, 聚丙烯,,,
 带状疱疹病毒,,,,,,,,,,,, 免疫胶体金技术, 聚丙烯腈基碳纤维,,,
 甘蔗白叶病,,,,,,,,,,,, 半导体激光器, 聚丙烯腈纤维,,,
 扩展青霉,,,,,,,,,,,, 固体推进剂, 钙离子,,,
 麻风杆菌,,,,,,,,,,,, 超微结构, 有机硅氧烷,,,
,,,,,,,,,,,, 铸铁中石墨形态, 非晶态催化剂,,,
,,,,,,,,,,,, 集成电路, 非晶态合金,,,
,,,,,,,,,,,, 高聚物断面样品, 高温超导体结构,,,
,,,,,,,,,,,, 稀土镁球墨铸铁组织, 顺丁烯二酸,,,
,,,,,,,,,,,, 显微结构, 氧化膜,,,
,,,,,,,,,,,, 核心复合体, 纽蛋白,,,
,,,,,,,,,,,, 阴极荧光, 直拉硅单晶,,,
,,,,,,,,,,,, 变温装置, 外延生长纳米线,,,
,,,,,,,,,,,, 焊接烟尘, YBaCuO超导薄膜,,,
,,,,,,,,,,,,冷硬树脂砂, 抗凝剂,,,
,,,,,,,,,,,,, 苯乙烯,,,
,,,,,,,,,,,,, 合胞体,,,
,,,,,,,,,,,,, 人造金刚石,,,
,,,,,,,,,,,,, 接枝侧链聚合物,,,
,,,,,,,,,,,,, 铁碳钼合金,,,
,,,,,,,,,,,,, 核壳胶乳粒,,,
,,,,,,,,,,,,, 硅丙乳液,,,
,,,,,,,,,,,,, 3C-SiC中的硅,,,
,,,,,,,,,,,,, 半导体,,,
,,,,,,,,,,,,, 铂,,,
,,,,,,,,,,,,, 纯钛种植体,,,
,,,,,,,,,,,,, 石墨烯液体,,,
,,,,,,,,,,,,, 福尔马林固定组织,,,
,,,,,,,,,,,,, 棉酚,,,
,,,,,,,,,,,,, 聚丙烯酰胺,,,
,,,,,,,,,,,,, 氧氯化催化剂,,,
,,,,,,,,,,,,, 石墨烯基,,,
,,,,,,,,,,,,, Te-GaAs单晶,,,
,,,,,,,,,,,,, 单体纳米材料,,,
,,,,,,,,,,,,, 铝合金中单层Mg-GP,,,
,,,,,,,,,,,,, 粉煤灰珠状颗粒,,,
,,,,,,,,,,,,, 镀膜技术,,,
,,,,,,,,,,,,, 淀粉—丙烯酰胺接枝聚物,,,
,,,,,,,,,,,,, 热塑性聚氨酯橡胶,,,
